Unnamed: 0.1,Unnamed: 0,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BP-RP,BP-G,G-RP,pscol,Teff,Dist,Rad,Lum-Flame,Mass-Flame,Age-Flame,z-Flame,SpType-ELS
66770,66770,321.2482294146,50.30711978965,2171233687582274176,0.5714,5.511,-2.973,-4.64,14.618119,0.002768,15.047198,0.003104,14.009335,0.003853,13.743425,0.12367,1.037864,0.429079,0.608785,1.5044,7927.1,1896.6731,2.1159,10.30679,1.676,1.071,0.22413966,A      
28206,28206,123.82700112205,19.69427622427,675544277730196480,2.9147,9.85,-8.788,-4.449,10.430606,0.002792,10.569472,0.002843,10.174889,0.003805,10.049519,0.007683,0.394584,0.138866,0.255717,1.6495,7452.5,351.6475,1.5643,6.494361,1.554,0.593,0.56259286,A      
131624,31624,2.39528489332,57.947800272,422487244199434624,0.282,2.615,-2.25,-1.332,13.304137,0.002766,13.507463,0.002861,12.951476,0.003807,,,0.555986,0.203325,0.352661,,12224.2,4214.218,4.5898,256.93073,3.622,,0.48203975,B      
138297,38297,9.48535075593,63.20605540063,430837309155446912,0.3448,2.908,-2.851,-0.57,12.569051,0.002764,12.841159,0.002861,12.12593,0.003799,,,0.715229,0.272108,0.443121,,15301.2,3414.3313,5.3609,921.22406,5.051,,0.5391177,B      
34205,34205,260.95134705422,55.87239771765,1420546281235806976,1.7775,8.537,2.764,-8.077,10.567277,0.00277,10.696631,0.002844,10.335508,0.003792,10.247386,0.007229,0.361123,0.129354,0.231769,,7632.2,585.7645,2.3569,15.811407,1.831,1.007,0.45624605,A      
41480,41480,338.22021346339,29.23574389858,1882221902250560128,4.8034,34.036,33.237,-7.335,9.3003,0.002766,9.429656,0.002832,9.056667,0.003802,8.950506,0.00552,0.372989,0.129356,0.243632,,7515.7,211.6521,1.5674,6.2696433,1.532,0.727,0.53626585,A      
2462,2462,68.04859841966,38.25175723893,178755993401836032,2.2158,8.157,5.333,-6.172,12.77488,0.003776,13.254611,0.002955,12.030117,0.003879,11.740798,0.020437,1.224494,0.479731,0.744763,1.385,7664.3,400.0651,1.2416,5.643822,1.594,0.331,0.5191867,A      
115151,15151,76.30605853326,44.13130165124,205520266788772992,0.3182,0.364,-0.233,-0.279,16.056852,0.00279,16.668535,0.004306,15.283855,0.00408,,,1.38468,0.611683,0.772997,,10033.3,2988.4368,2.0773,40.73736,2.401,0.275,0.5259982,B      
169392,69392,31.93635114895,63.24237989109,514858006322787584,0.1367,1.387,-1.359,0.276,16.123304,0.002776,16.51131,0.003481,15.551211,0.004053,,,0.960099,0.388006,0.572093,,10429.9,5509.056,2.5496,66.44539,2.666,0.271,0.5189659,B      
57514,57514,303.33555206378,32.66797211609,2054949543990172160,1.0924,3.504,2.797,2.111,11.33587,0.002796,11.591576,0.002946,10.933353,0.003817,10.760603,0.0086,0.658222,0.255706,0.402516,,7764.9,956.4874,3.4838,34.10051,2.163,0.794,0.37956575,A      
160547,60547,28.97308066397,61.69455988146,508700328891140608,0.6379,1.287,0.526,-1.175,11.70582,0.002773,11.960929,0.002838,11.278652,0.003846,11.073333,0.022678,0.682277,0.255109,0.427168,,10674.1,1714.9285,4.7042,194.00902,3.297,0.252,0.42647904,B      
129769,29769,26.39812382563,56.14365675246,409515274732541696,0.391,1.443,-0.966,-1.072,14.259508,0.002767,14.435107,0.002857,13.941367,0.003836,,,0.49374,0.175599,0.318141,,10490.2,3490.508,2.5546,33.739048,2.39,,0.5252357,B      
164431,64431,25.75295880048,61.19248837705,511250027637102592,0.2889,0.773,-0.717,-0.286,14.823586,0.002764,15.082574,0.002947,14.397842,0.003848,,,0.684732,0.258987,0.425744,,10053.5,4660.4946,3.1635,43.061054,2.428,0.286,0.4611953,B      
168503,68503,39.1203566352,63.70337585002,514182047190471936,0.246,0.901,-0.866,0.249,14.391315,0.002762,14.732356,0.002915,13.863325,0.003831,,,0.869031,0.341042,0.527989,,13310.2,3963.0093,3.2847,264.26834,3.776,,0.581235,B      
150721,50721,42.20577855358,59.68579925755,464524631744711040,0.2829,1.203,-0.926,0.769,16.80729,0.002812,17.316814,0.010775,16.029123,0.006208,,,1.287691,0.509525,0.778166,,9808.7,4924.726,2.3396,47.57049,2.444,0.367,0.474855,B      
90693,90693,110.0784704303,-6.60149702389,3057993693729891840,1.0519,2.61,-1.87,-1.822,12.279379,0.002776,12.432223,0.002959,12.007976,0.003848,11.89438,0.088642,0.424248,0.152844,0.271403,,7810.2,858.4521,1.6609,10.665897,1.715,0.793,0.48645443,A      
56911,56911,293.67891160674,36.37223993047,2048517882004489088,0.7263,9.961,-3.609,-9.284,11.561759,0.002801,11.754665,0.003,11.237302,0.003844,11.107701,0.009897,0.517364,0.192906,0.324457,,7358.2,1284.0051,3.773,38.431026,2.209,0.818,0.33589396,A      
162867,62867,20.9636580342,60.36029864095,510251361842777088,0.3146,1.821,-1.696,-0.663,11.651779,0.002766,11.818306,0.002838,11.341909,0.003793,,,0.476397,0.166527,0.30987,,16362.4,2038.6385,3.6246,1705.228,5.88,,0.9396695,B      
78184,78184,108.371798223,-21.00498597959,2928445733356867584,1.9937,9.345,-9.293,0.982,9.923974,0.002784,9.974761,0.002803,9.803798,0.003784,9.73009,0.006095,0.170963,0.050787,0.120176,1.6915,9851.9,503.4115,2.08,37.0648,2.346,0.304,0.7688033,A      
185671,85671,298.33188995117,20.65446617812,1826439210653837952,0.6775,1.002,1.001,0.058,14.703084,0.002786,15.045887,0.004928,14.014937,0.005937,,,1.03095,0.342803,0.688147,,14737.3,1968.826,1.54,53.70137,,,1.127581,B      
63197,63197,288.02771831885,37.64535711618,2099266012973568640,1.2178,8.287,0.712,-8.256,11.161313,0.002787,11.269266,0.002913,10.963998,0.003805,10.85028,0.013929,0.305268,0.107953,0.197315,,9225.3,836.4947,2.2472,30.718409,2.208,0.443,0.73008275,A      
108189,8189,81.8091804463,41.32996896066,194192140224919296,0.2773,2.508,1.129,-2.239,13.050687,0.003097,13.196533,0.00597,12.773554,0.005182,,,0.422979,0.145846,0.277133,,14166.1,3048.6494,3.0987,426.6281,4.272,,0.6569664,B      
29010,29010,111.46023305282,27.04417268026,872785221959955456,1.1322,3.603,1.187,-3.401,11.351932,0.002786,11.485884,0.002924,11.104797,0.003804,11.005363,0.009686,0.381086,0.133952,0.247134,,7692.2,641.6644,1.8664,20.105942,1.939,0.883,0.51265264,A      
39317,39317,320.85911339634,32.27331201845,1853720739799933952,1.8066,14.058,-8.89,-10.89,9.231798,0.002759,9.32531,0.002807,9.038248,0.003786,8.933862,0.022827,0.287062,0.093512,0.19355,,9446.1,521.5731,3.3595,91.96806,2.754,0.396,0.53499293,A      
115641,15641,73.90310366705,44.43531267825,206187124889930496,0.2094,1.655,0.217,-1.64,15.683369,0.002786,16.131044,0.003729,15.046495,0.004102,,,1.084549,0.447676,0.636873,,9649.9,5006.9805,3.2854,76.697845,2.669,0.391,0.44287717,B      
78874,78874,110.07726562884,-18.43392068224,2931492480076584832,0.6861,1.147,-0.078,-1.145,12.37376,0.002764,12.638095,0.002835,11.950432,0.003791,11.776509,0.012583,0.687663,0.264335,0.423328,,6677.7,2250.7283,5.7431,20.536879,1.905,1.239,0.23183036,A      
89764,89764,113.62648834281,-8.55207596005,3053619153580261632,2.4974,17.479,-17.355,2.078,9.966245,0.002781,10.094589,0.002902,9.728674,0.003841,9.630914,0.006719,0.365915,0.128345,0.237571,,7430.1,406.1736,2.2441,14.637439,1.811,0.948,0.42642477,A      
179614,79614,178.40188249459,75.29888579471,1079371156031625472,0.5637,6.429,-6.429,0.041,11.564527,0.00278,11.59057,0.002886,11.507522,0.003805,11.462208,0.011156,0.083049,0.026044,0.057005,,10094.0,1956.1326,3.5162,80.933754,2.726,0.342,0.5052392,B      
87899,87899,110.89948542285,-9.31983707709,3047689934049943808,1.8075,8.118,-7.851,2.065,11.533211,0.002775,11.685178,0.002845,11.254706,0.003799,11.133537,0.015903,0.430471,0.151967,0.278504,,7267.5,555.1892,1.5746,6.171766,1.556,0.335,0.46311566,A      
128559,28559,31.67944517039,43.59504420146,346419422008965120,1.2415,4.238,-2.728,-3.243,10.865853,0.002783,10.870731,0.002933,10.841846,0.003801,10.832229,0.010892,0.028886,0.004878,0.024008,,9949.6,854.7493,2.0535,32.6155,2.309,0.223,0.57672423,B      
116737,16737,80.70891447511,44.7538914426,207724517021608704,0.2222,0.965,0.669,-0.695,14.275969,0.002773,14.615774,0.003034,13.749851,0.003952,,,0.865923,0.339806,0.526117,,9768.9,3297.459,3.4692,130.56116,2.981,0.335,0.31362396,B      
167046,67046,21.65476805099,64.09003213897,512786285897723008,0.1734,1.288,-1.288,0.023,15.548919,0.002774,16.19179,0.003397,14.755766,0.004108,,,1.436024,0.642871,0.793153,,11174.2,3104.8347,2.6605,106.21181,2.976,0.228,0.55661225,B      
136172,36172,4.59277966764,61.76371006321,429709867363424384,0.3645,3.605,-3.241,-1.578,14.250372,0.002764,14.563622,0.002942,13.74951,0.003875,,,0.814113,0.313251,0.500862,,11417.6,4115.588,3.7546,83.96103,2.887,,0.4594078,B      
82424,82424,98.91734672272,-7.73091974315,3003811895310954880,1.3336,3.746,-1.157,-3.563,10.404079,0.002894,10.542285,0.002964,10.094743,0.003849,9.9856,0.013811,0.447542,0.138206,0.309336,,7812.5,574.7999,2.7177,40.136353,2.244,0.736,0.3882283,A      
136510,36510,1.83116201868,62.27671613187,429961655528277632,0.2427,1.501,-1.418,-0.492,16.874346,0.002819,17.297318,0.007632,16.252079,0.006205,,,1.045239,0.422972,0.622267,,9715.9,3838.6177,1.3856,16.519905,,,0.78300244,B      
113805,13805,70.08760849247,42.32177403971,204050528982861824,0.315,1.609,-0.659,-1.468,15.602108,0.002851,15.89278,0.003477,15.061183,0.004966,,,0.831597,0.290672,0.540925,,10054.9,3061.8967,1.6529,24.675156,2.218,,0.6040963,B      
174871,74871,15.4927353655,64.42547789787,524256047598420608,0.2745,2.744,-2.361,-1.397,14.505333,0.002764,15.094605,0.003096,13.750658,0.003827,,,1.343947,0.589273,0.754675,,9947.9,2997.5,4.1085,187.09222,3.219,0.287,0.41742468,B      
11876,11876,33.04656596931,48.37808344409,355054638438819712,1.6773,7.159,-0.714,-7.124,11.580764,0.002767,11.812066,0.002868,11.200469,0.003825,11.050221,0.014845,0.611597,0.231302,0.380295,,7507.1,593.2662,1.8396,9.419877,1.652,0.995,0.57043046,A      
43833,43833,329.67038414322,44.2606496874,1961260222597059072,0.5811,9.36,-6.307,-6.916,12.37703,0.002762,12.616944,0.002844,11.9823,0.003795,11.792082,0.018823,0.634645,0.239914,0.394731,,7626.8,2744.3643,6.1342,42.093643,2.261,0.748,0.28983194,A      
34096,34096,244.24245242739,41.64169677479,1381661227886342272,1.349,8.434,-5.449,-6.438,10.726795,0.002769,10.796803,0.002865,10.592093,0.003801,10.53996,0.01239,0.204711,0.070008,0.134703,,8263.8,796.5704,2.5218,23.31783,2.021,0.737,0.51514214,A      
13585,13585,18.65713750184,49.55307592791,403301075524662272,2.2363,7.493,3.323,-6.716,9.71725,0.002763,9.802633,0.002801,9.542892,0.003786,9.453692,0.008189,0.259742,0.085383,0.174358,,9845.4,440.5699,2.1345,40.78383,2.383,0.329,0.7847198,A      
95758,95758,107.74510379447,-2.81653082707,3108337032632624640,0.7143,1.175,-0.148,-1.165,12.344591,0.002765,12.512026,0.002856,12.050883,0.003793,11.885382,0.021844,0.461143,0.167435,0.293708,,8181.5,1295.5657,2.4859,26.244143,2.063,0.758,0.4100411,A      
134509,34509,11.65024777896,62.53669616893,427741844626501504,0.2188,1.965,-1.91,-0.465,14.725406,0.002768,15.397206,0.003219,13.91106,0.003818,,,1.486146,0.671801,0.814345,,11637.5,3061.0916,3.8809,441.43082,3.986,,0.47836283,B      
173755,73755,14.12575636498,62.9837660192,523703989686208640,0.1514,2.286,-2.277,-0.197,17.18156,0.002837,17.639517,0.008131,16.490467,0.00804,,,1.14905,0.457956,0.691093,,9965.3,4921.4937,1.6549,25.393604,2.217,,0.62354165,B      
84141,84141,113.81270189299,-15.35992372674,3029818506413179264,0.7389,4.029,-3.317,2.286,13.719197,0.002779,13.934084,0.002976,13.368476,0.003871,13.220415,0.082463,0.565608,0.214887,0.350721,,7274.3,1401.9163,1.6186,6.051862,1.555,0.282,0.5575646,A      
85005,85005,110.86580325447,-13.05666496639,3032817733612944512,0.3272,1.926,-1.596,1.078,14.586164,0.002815,14.873466,0.00358,14.129045,0.004091,13.858955,0.136049,0.744421,0.287302,0.457119,,7611.2,4375.476,3.8606,18.08386,1.89,0.955,0.3450906,A      
133062,33062,16.09768580228,60.71512970128,426398065317855616,-0.0387,1.3,-1.287,0.185,16.516722,0.002822,16.816784,0.005722,15.934994,0.006488,,,0.88179,0.300062,0.581728,,9975.7,3590.5757,1.3172,,,,,B      
86740,86740,115.20016302904,-9.44341768875,3041624306353965696,1.2127,5.722,-5.566,1.327,11.116489,0.002793,11.249241,0.002853,10.877564,0.003797,10.79071,0.014934,0.371676,0.132751,0.238925,,7945.0,650.7974,2.0182,22.10571,1.981,0.848,0.5505032,A      
177193,77193,3.05531316694,68.70876037358,530580438478016768,0.9774,0.469,-0.445,0.148,13.504885,0.002762,14.218341,0.002938,12.671226,0.003817,12.298597,0.058079,1.547115,0.713456,0.833659,,15005.0,945.226,1.9489,197.25305,,,1.090038,B      
36267,36267,303.32710540257,17.24545953996,1809578680850157568,0.5685,1.971,0.555,-1.891,13.973932,0.002766,14.188305,0.002877,13.61464,0.003834,13.50859,0.047984,0.573665,0.214373,0.359292,,7265.8,1937.3042,1.9843,7.4815726,1.57,1.05,0.5129159,A      
138309,38309,9.44265340835,63.37424124808,430840955590343040,0.333,2.144,-1.924,-0.946,13.723756,0.002764,14.245257,0.002969,13.025128,0.003813,,,1.220129,0.521502,0.698628,,12712.0,2123.953,3.2765,455.95258,4.113,,0.55601233,B      
52924,52924,296.72237869459,25.30404487298,2020955187093895808,1.0214,4.483,-0.297,-4.473,11.963496,0.00276,12.304403,0.002817,11.444881,0.003786,11.21086,0.023121,0.859523,0.340907,0.518616,,9044.8,908.8297,2.7995,52.92292,2.432,0.507,0.48595455,A      
